seq,len,probability,valid
VPYPPF,6,0.9998643398284912,True
YGFGGF,6,0.941876232624054,True
YFGGFG,6,0.06921391189098358,False
YYFFLF,6,8.570199861424044e-05,False
YCGFLF,6,0.9998102784156799,True
VPPPYP,6,0.9998924732208252,True
YGLGFL,6,0.0012371204793453217,False
FYFNGF,6,0.1983414739370346,False
YGGYFL,6,0.0001190697803394869,False
YGGGYG,6,0.993310809135437,True
YGFGLF,6,0.009225181303918362,False
YFFFYG,6,0.9749999642372131,True
VYFPYF,6,0.8242447972297668,True
YFYFLG,6,6.191147986100987e-05,False
VYGPLF,6,0.9008491039276123,True
YGFYLL,6,0.010636290535330772,False
YYFGKF,6,5.602189412456937e-05,False
YFGGLL,6,0.03604250028729439,False
YVFVLL,6,0.03611759468913078,False
YFGGPG,6,0.05049853026866913,False
YYGFPF,6,0.013692652806639671,False
YFFGFG,6,0.02649715356528759,False
YPPYVV,6,0.5205373167991638,False
RRRRKR,6,0.9999998807907104,True
VVVWTS,6,0.9760658740997314,True
SGVSVS,6,0.07872682809829712,False
YVIYFK,6,0.0002489131293259561,False
VVVPYL,6,0.9668864011764526,True
GYGGFF,6,0.8596885800361633,True
RGRPRR,6,0.9999967813491821,True
YYGFGF,6,0.5433340668678284,False
YGGGLL,6,0.7477849125862122,False
VVVPPP,6,0.9997425675392151,True
VVWWSS,6,0.9541546702384949,True
YYFFFF,6,0.4929526150226593,False
YGFGKF,6,0.554948091506958,False
PVYYPP,6,0.9911569356918335,True
YGFGLG,6,0.10591208934783936,False
YGGFGS,6,0.9912692308425903,True
VYPFLL,6,0.028666792437434196,False
SSSFSS,6,0.9448126554489136,True
VVDWVV,6,0.9958271384239197,True
YGFFGL,6,0.2358071655035019,False
VVVVYP,6,0.9998769760131836,True
VFYYPL,6,0.04207247495651245,False
YFFFGL,6,0.04291938617825508,False
YFGFFR,6,0.011107610538601875,False
YGWPLL,6,0.007313421927392483,False
YGFFYL,6,0.38077205419540405,False
VPYFPF,6,0.0012818011455237865,False
RRYRLL,6,0.999819815158844,True
YLFLKK,6,0.6476718187332153,False
YGFFGK,6,0.9880664348602295,True
YFGFGK,6,0.04506787285208702,False
YRRRKK,6,0.9999997615814209,True
VYPPPV,6,0.9999420642852783,True
RRKRKR,6,1.0,True
VVVPWL,6,0.9999432563781738,True
YFGFKG,6,0.8292751908302307,True
YFFFGG,6,0.8508661985397339,True
VVVWVL,6,0.9998058676719666,True
RRYRPL,6,0.9999923706054688,True
YFFGGL,6,0.02447596564888954,False
YYFGLL,6,2.7538749236555304e-06,False
YPPPPF,6,0.9926310777664185,True
VVSVSS,6,0.6825393438339233,False
VVVWPP,6,0.9999916553497314,True
YTFFFL,6,0.8700252771377563,True
RGGYRR,6,0.9992188215255737,True
YGGFFK,6,0.9997109770774841,True
YLIPLL,6,0.008706390857696533,False
YGGGFG,6,0.9234234094619751,True
VVLILK,6,0.9807806611061096,True
YRRPLR,6,0.9999642372131348,True
YFGFKF,6,0.8243280649185181,True
SGSSSS,6,0.970758318901062,True
YGFLKL,6,0.998383641242981,True
VRVPLS,6,0.7886125445365906,False
YRFYRK,6,0.9999692440032959,True
YGFFFP,6,0.999068558216095,True
YGGYLL,6,0.02476666495203972,False
VYVVPL,6,0.010867150500416756,False
YGFFLG,6,0.9963943362236023,True
YLLLKF,6,0.9669651985168457,True
YVPPPL,6,0.6772531867027283,False
YGFPLG,6,0.5668731927871704,False
GYFFFL,6,0.0014002922689542174,False
GYFFGY,6,0.0018753863405436277,False
VVFPLL,6,0.801089346408844,True
VRIYPK,6,0.999955415725708,True
YGGLFL,6,0.00040572171565145254,False
VLVPLL,6,0.4880428910255432,False
SSSSSS,6,0.9992755055427551,True
VGPPPP,6,0.9769863486289978,True
VPWVKV,6,0.005663599353283644,False
YVPVLL,6,0.37798240780830383,False
YFGFGF,6,0.0632169097661972,False
VPVYPL,6,0.9987707734107971,True
YYGFFG,6,0.9830428957939148,True
VGVYKK,6,0.8264310359954834,True
GFFYFL,6,0.019302325323224068,False
VWVVPW,6,0.999819815158844,True
YFGGGF,6,0.14298321306705475,False
YLFPYF,6,0.330753356218338,False
YHGYFF,6,1.0180496246903203e-05,False
YGYFFG,6,0.01803884096443653,False
VPPPVP,6,0.9993225336074829,True
YGFFRR,6,0.9989810585975647,True
VVVPPV,6,0.9995906949043274,True
YLGGFF,6,0.9932678937911987,True
YRGRRR,6,0.9999969005584717,True
YVNIPY,6,0.9984369874000549,True
VVVILL,6,0.9730721712112427,True
VHGPPL,6,0.9999222755432129,True
GGYYFL,6,1.9368371795280837e-08,False
YVPYPP,6,0.9997010827064514,True
VVVWPV,6,0.9999943971633911,True
GGFYFL,6,1.4714109966007527e-05,False
FGGYGT,6,0.0011328236432746053,False
YFNFLG,6,3.5529847082216293e-06,False
VFFFYT,6,7.549084693891928e-05,False
VLRKKK,6,0.7591507434844971,False
VYVPPV,6,0.9984155893325806,True
YLVLLL,6,8.979759877547622e-05,False
YFGGGG,6,0.06616061180830002,False
GYFFFG,6,0.0024778565857559443,False
SVSVVV,6,0.4191282093524933,False
VYRILL,6,0.9937006235122681,True
YFGFFK,6,0.9689616560935974,True
YGFFYG,6,0.9998070597648621,True
VVPPYL,6,0.9891188144683838,True
YFFFYN,6,0.9874558448791504,True
YPPPPP,6,0.9999890327453613,True
YYFGGF,6,0.004473237786442041,False
YFFFFG,6,0.931191623210907,True
PPPPPP,6,0.9999701976776123,True
YRRRRR,6,0.9999973773956299,True
GFFFGF,6,0.9230085611343384,True
YFFFLG,6,0.3449002802371979,False
VVYPVV,6,0.9999456405639648,True
VVYPPP,6,0.9999572038650513,True
GFFYKF,6,0.9981830716133118,True
YLLKLL,6,0.9991692304611206,True
VVVPVV,6,0.9928455948829651,True
YGFLLL,6,0.0382063202559948,False
FGFYFG,6,0.0006554898573085666,False
YGFNFG,6,0.1157890111207962,False
YGYFFF,6,0.08873295783996582,False
RRRRLR,6,0.9999513626098633,True
YFGFPL,6,0.03646863251924515,False
YRFLKK,6,0.9999673366546631,True
LRVLKK,6,0.9992803931236267,True
YPFPGY,6,0.9983207583427429,True
GFGFYF,6,9.16122953640297e-05,False
YPGFPP,6,0.9998263716697693,True
YYGFKF,6,0.9141311645507812,True
FYFGGG,6,0.0014308793470263481,False
YGGGLF,6,0.09632715582847595,False
YGYFGF,6,0.012729646638035774,False
RGRRRR,6,0.9999873638153076,True
YGFFLP,6,0.9979496598243713,True
LLPLPR,6,0.3782917857170105,False
GPIFYL,6,5.125394295646402e-07,False
VLVPPL,6,0.18797531723976135,False
YYFFFL,6,0.034093454480171204,False
YGFPPP,6,0.9700534343719482,True
YLGFLF,6,0.25113746523857117,False
VVPYLL,6,0.9664332866668701,True
YRVKKK,6,0.9997902512550354,True
YFFGGF,6,0.7872854471206665,False
YGPYPF,6,0.6664506793022156,False
VVFFGY,6,0.0003788072499446571,False
RRRKKR,6,1.0,True
RGRRYR,6,0.9999972581863403,True
YYGFFL,6,0.9784391522407532,True
YFFFGY,6,0.7175999879837036,False
YLRKKL,6,0.9991195797920227,True
VSIVSS,6,0.39575907588005066,False
YPGGPF,6,0.43492183089256287,False
YYFGFG,6,0.0008047397714108229,False
YRRLKF,6,0.9997155070304871,True
GYGFYF,6,7.052720320643857e-05,False
RYGFFR,6,0.9942864775657654,True
YPPFPP,6,0.9987114667892456,True
VGPLSP,6,0.1763707548379898,False
YGFLLG,6,0.7238662242889404,False
GGFFGF,6,0.13830116391181946,False
FYFGFL,6,0.024531682953238487,False
YGFFFY,6,0.9992326498031616,True
YGGLLL,6,0.21404026448726654,False
YFFFKK,6,0.9991599321365356,True
YFGGLF,6,0.0012898698914796114,False
YGVFSF,6,2.893253622460179e-05,False
PYPFPF,6,0.9992244243621826,True
YRFFLK,6,0.9998316764831543,True
YGFFLK,6,0.9998912811279297,True
GYFILF,6,6.513801963592414e-06,False
YGGFFS,6,0.9999066591262817,True
GYGFLL,6,0.0003139589971397072,False
YFFGGG,6,0.14346902072429657,False
YYFGFL,6,0.00032387804822064936,False
YFGFLG,6,0.025515418499708176,False
LGLFLL,6,0.0005021062097512186,False
YPVPPF,6,0.018372751772403717,False
VLLKKL,6,0.9995150566101074,True
VIIILL,6,0.07835175096988678,False
YPFGFF,6,0.9300667643547058,True
YGFYFP,6,0.36768338084220886,False
KRKKRK,6,1.0,True
YRFFLL,6,0.9988019466400146,True
YYVPFP,6,0.00015267834533005953,False
YGFYFL,6,0.0002241112379124388,False
YYPLPL,6,0.0020770421251654625,False
YFYFFL,6,0.00020147254690527916,False
YGGFKL,6,0.999906063079834,True
VFPYKY,6,0.09079527854919434,False
YGGFYF,6,0.012308621779084206,False
YFGFGG,6,0.14444059133529663,False
VGFYKR,6,0.972098708152771,True
YGGLFF,6,0.0034090669360011816,False
CYGGFL,6,0.9999481439590454,True
YFGGPF,6,0.00110782275442034,False
YGPGFF,6,0.7938741445541382,False
YLLGLF,6,0.1216941550374031,False
VPVPVV,6,0.9664807319641113,True
YVPPVV,6,0.9891676902770996,True
YGFFKK,6,0.9999645948410034,True
YYGGFF,6,0.9538637399673462,True
YGFFFT,6,0.9808881282806396,True
YGFFTT,6,0.9707044959068298,True
VVVVPP,6,0.996001660823822,True
YVVIVW,6,0.7956196665763855,False
VVPPPV,6,0.9997488856315613,True
RRIKLR,6,0.9996331930160522,True
YVFPLF,6,0.0024942506570369005,False
YGFLYG,6,0.9984851479530334,True
YPPYFP,6,0.9975278973579407,True
VVIIKW,6,0.18526822328567505,False
YGGFGY,6,0.9966298937797546,True
RYLFLL,6,0.8882492184638977,True
PPPYPP,6,0.999985933303833,True
PPPFPL,6,0.9907088279724121,True
VGGYKL,6,0.963220477104187,True
LILLLL,6,0.4765516519546509,False
YCGFFF,6,0.9999955892562866,True
YYGGLF,6,0.00025524114607833326,False
YGVVFK,6,0.7268956899642944,False
YGRFRL,6,0.013800847344100475,False
YFGLGF,6,0.00010483407822903246,False
PVYFLV,6,0.9331562519073486,True
VYPYPF,6,0.9998672008514404,True
VLIYLK,6,0.9827231168746948,True
YPPYPP,6,0.9999973773956299,True
YVGFLK,6,0.9993237257003784,True
VYGFFF,6,0.9920976161956787,True
YGGFKK,6,0.9999898672103882,True
VRFYKL,6,0.9164448380470276,True
YGGYGF,6,0.7615545988082886,False
YHGFPF,6,0.10694616287946701,False
VVVVSV,6,0.40764638781547546,False
VVVVWK,6,0.9999116659164429,True
YGLFFF,6,0.6969419717788696,False
YGLFGF,6,0.4267297387123108,False
VGLVKV,6,0.30181828141212463,False
YRFYKL,6,0.9987462759017944,True
VLIPLL,6,0.8343154788017273,True
YFGFYF,6,0.0002861119864974171,False
YPYPPP,6,0.9999966621398926,True
VYFFLF,6,0.0005330748972482979,False
VPPVYP,6,0.9996733665466309,True
